,album_name,artist
4995,The Essential R. Kelly,R. Kelly
4997,Dig Your Roots,Florida Georgia Line
4998,"Love, Simon",Soundtrack
5163,Icarus Falls,Zayn
5168,The 50 Greatest Pieces Of Classical Music,London Philharmonic Orchestra
5184,Mercury Lane,Jimmie Allen
5195,The Story So Far.The Best Of Def Leppard,Def Leppard
5196,Nothing But The Best,Frank Sinatra
5329,Appetite For Destruction,Guns N' Roses
5334,Si,Andrea Bocelli
5347,Christmas,Michael Buble
5374,Erase The Pain,Palisades
5379,Voicenotes,Charlie Puth
5380,Merry Christmas,Mariah Carey
5391,Mamma Mia! Here We Go Again,Soundtrack
5392,The Greatest Showman: Reimagined,Various Artists
5406,The Christmas Song,Nat King Cole
5411,A Christmas Gift For You From Phil Spector,Various Artists
5416,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio
5417,Ultimate Christmas,Frank Sinatra
5418,Christmas Classics,Bing Crosby
5420,Christmas Is Here!,Pentatonix
5421,The Classic Christmas Album,Perry Como
5423,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Gene Autry
5424,A Pentatonix Christmas,Pentatonix
5426,Classic Christmas Album,Andy Williams
5436,Rudolph The Red-Nosed Reindeer,Burl Ives
5439,It's Christmas Time,Elvis Presley
5443,Noel,Josh Groban
5444,Wrapped In Red,Kelly Clarkson
5446,The Best Of Bing Crosby: 20th Century Masters: The Christmas Collection,Bing Crosby
5448,The Dean Martin Christmas Album,Dean Martin
5450,That's Christmas To Me,Pentatonix
5458,The Best Of Brenda Lee: 20th Century Masters The Christmas Collection,Brenda Lee
5462,The Andy Williams Christmas Album,Andy Williams
5463,A Legendary Christmas,John Legend
5466,Christmas Portrait,Carpenters
5468,Christmas With Dino,Dean Martin
5471,Burn The Ships,for KING & COUNTRY
5472,TwentyFive,George Michael
5483,Feliz Navidad,Jose Feliciano
5484,Under The Mistletoe,Justin Bieber
5485,Power To The People: The Hits,John Lennon
5488,Warmer In The Winter,Lindsey Stirling
5493,McCartney II,Paul McCartney
5495,You Make It Feel Like Christmas,Gwen Stefani
5497,Springsteen On Broadway,Bruce Springsteen
5506,The Beach Boys' Christmas Album,The Beach Boys
5509,Rock 'N' Roll Rarities,Chuck Berry
5511,Happy Xmas,Eric Clapton
5514,The Best Of The Jackson 5: 20th Century Masters: The Christmas Collection,Jackson 5
5520,Glow,Brett Eldredge
5527,The Christmas Attic,Trans-Siberian Orchestra
5529,These Are Special Times,Celine Dion
5531,Everyday Is Christmas,Sia
5541,Christmas Songs By Sinatra,Frank Sinatra
5545,Home For Christmas,'N Sync
5554,The Ghosts Of Christmas Eve,Trans-Siberian Orchestra
5557,We Wish You A Merry Christmas,Ray Conniff And The Ray Conniff Singers
5566,40 Christmas Classics,Andy Williams
5573,Ella & Louis Christmas,Ella Fitzgerald & Louis Armstrong
5577,Purple Rain (Soundtrack),Prince And The Revolution
5578,Tchaikovsky: Nutcracker Suite: The Works,Berlin Philharmonic/Mstislav Rostropovich
5580,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
5581,NOW 68,Various Artists
5588,PTXmas (EP),Pentatonix
5590,River Rat,Upchurch
5593,Pure Southern Soul: Otis Redding,Otis Redding
5594,The Best Of Stevie Wonder: 20th Century Masters The Christmas Collection,Stevie Wonder
5598,Behold: A Christmas Collection,Lauren Daigle
5718,Christmas Eve And Other Stories,Trans-Siberian Orchestra
5738,My Kind Of Christmas,Reba
5785,Pain 2,Derez De'Shon
5789,Los Campeones del Pueblo / The Big Leagues,Wisin & Yandel
5791,All Eyez On Me,2Pac
5798,On This Winter's Night,Lady Antebellum
5806,Other People's Stuff,John Mellencamp
5861,Everythangs Corrupt,Ice Cube
5885,Forever 23,JayDaYoungan
5909,The Prophet Speaks,Van Morrison
5927,Live In Buenos Aires,Coldplay
5942,Dumplin' (Soundtrack),Dolly Parton
5946,Dicaprio 2,J.I.D
5948,Red Rose Speedway,Paul McCartney And Wings
5972,Some Rap Songs,Earl Sweatshirt
5997,Glockoma,Key Glock
5998,Wild Life,Wings
6070,The Pains Of Growing,Alessia Cara
6081,11,Trey Songz
6086,Warm,Jeff Tweedy
6113,Oxnard,Anderson .Paak
6140,What Is Love?,Clean Bandit
6146,28,Trey Songz
6162,Caution,Mariah Carey
6163,NOW That's What I Call Merry Christmas (2018),Various Artists
6164,Creed II: The Album (Soundtrack),Mike WiLL Made-It
6170,"Cheers, It's Christmas",Blake Shelton
6175,What A Wonderful Christmas,Louis Armstrong & Friends
6183,The Lost Christmas Eve,Trans-Siberian Orchestra
6186,WW III,Wheeler Walker Jr.
6189,Christmas Together,Garth Brooks & Trisha Yearwood
6195,DAY69,6ix9ine
6196,Phoenix,Rita Ora
6199,They Were There: A Hero's Documentary (Soundtrack),Granger Smith
6302,I Can Only Imagine: The Very Best Of MercyMe,MercyMe
6337,Ain't No Goin' Bacc,Yella Beezy
6351,RESET,Moneybagg Yo
6355,LM5,Little Mix
6357,Decided,YoungBoy Never Broke Again
6359,The Elements,tobyMac
6364,An American Treasure,Tom Petty
6366,Still My Moment,Tee Grizzley
6378,The Sunset Tapes: A Cool Tape Story,Jaden Smith
6388,I Serve A Savior,Josh Turner
6392,Slip Stitch And Pass,Phish
6414,Down The Road Wherever,Mark Knopfler
6453,"SHINY AND OH SO BRIGHT, VOL. 1 / LP: NO PAST. NO FUTURE. NO SUN.",The Smashing Pumpkins
6464,50 Years: Don't Stop,Fleetwood Mac
6466,Chris Cornell (4 CD),Chris Cornell
6511,"Acoustic Live, Vol. 1",NEEDTOBREATHE
6513,The Classic Christmas Album,Elvis Presley
6515,Sunset Season (EP),Conan Gray
6522,Controlled Chaos,Nita Strauss
6541,Zoo,Russ
6554,Interstate Gospel,Pistol Annies
6565,I Know A Ghost,Crowder
6568,Upside Down Flowers,Andrew McMahon In The Wilderness
6569,Back To Black,Amy Winehouse
6584,Lost At Sea II,Birdman & Jacquees
6586,Rolling Papers 2,Wiz Khalifa
6591,Chris Cornell,Chris Cornell
6614,Glory Sound Prep,Jon Bellion
6649,Hymn,Sarah Brightman
6657,Limitless,The Piano Guys
6677,Take Good Care,The Revivalists
6679,Cities 97.1 Sampler 30: The Final Chapter,Various Artists
6686,Walls,Barbra Streisand
6688,Holy Hell,Architects
6691,Electric Ladyland,The Jimi Hendrix Experience
6702,Singular: Act I,Sabrina Carpenter
6736,Eve,Emery
6747,1981 Extended Play,I Dont Know How But They Found Me
6751,"More Blood, More Tracks: The Bootleg Series, Vol. 14",Bob Dylan
6752,Neon Future III,Steve Aoki
6753,Victim Of The New Disease,All That Remains
